Offroad|495|23|0|4|0|0|None|-293.709716|-2252.156005|29.756307|113.994316
-384.356323|-2257.932128|44.563362
-544.530578|-2323.131591|28.899402
-649.070007|-2465.475341|33.220565
-730.593383|-2645.202148|82.850547
-909.123352|-2665.470947|88.739845
-1146.489746|-2641.234130|11.989253
-1349.432250|-2627.880859|21.070661
-1510.747070|-2634.065429|48.049976
-1720.203613|-2570.006835|17.406585
-1890.373535|-2429.934082|32.448684
-2007.573120|-2491.460693|32.856288
-2137.641113|-2418.403320|30.317031
-2250.426025|-2329.401123|29.343500
-2346.743896|-2243.401611|17.824850
-2301.461669|-2162.479248|43.918674
-2153.079345|-2024.626831|93.406044
-2100.012939|-1894.734375|109.444747
-2180.815673|-2003.127929|119.011314
-2396.615234|-2099.543457|118.326919
-2612.861816|-2080.835205|131.867935
-2686.647705|-1877.701049|136.668853
-2781.258056|-1732.046142|141.639053
-2788.386962|-1521.607543|138.658843
